epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1742.16,1.3334,0.83332,1.08966,0.81894,0.74665,0.81721,0.47862,1.47487,0.88727,1.16726,0.000742625,0.000742625,0.000742625
43,1783.05,1.32166,0.82211,1.08726,0.82485,0.74772,0.82244,0.49325,1.4168,0.86691,1.14366,0.00073025,0.00073025,0.00073025
44,1823.9,1.3395,0.83229,1.09135,0.83348,0.75484,0.83394,0.5011,1.40659,0.84904,1.13945,0.000717875,0.000717875,0.000717875
45,1864.62,1.32467,0.81491,1.08327,0.8308,0.7381,0.82125,0.49429,1.41352,0.87376,1.1506,0.0007055,0.0007055,0.0007055
46,1905.75,1.3163,0.80357,1.08125,0.82679,0.75399,0.8281,0.49058,1.43214,0.8793,1.15068,0.000693125,0.000693125,0.000693125
47,1946.38,1.32099,0.81116,1.08142,0.81951,0.75833,0.82598,0.49345,1.42571,0.87053,1.15477,0.00068075,0.00068075,0.00068075
48,1987.2,1.30199,0.79124,1.07983,0.83488,0.75489,0.83047,0.49697,1.42744,0.84654,1.14223,0.000668375,0.000668375,0.000668375
49,2027.65,1.31118,0.80381,1.0771,0.82866,0.76497,0.83465,0.49952,1.42568,0.84991,1.14151,0.000656,0.000656,0.000656
50,2068.51,1.30013,0.7901,1.07657,0.82661,0.76446,0.83261,0.50047,1.4104,0.84437,1.14495,0.000643625,0.000643625,0.000643625
51,2109.12,1.29906,0.7935,1.07397,0.84627,0.7512,0.83683,0.50718,1.40948,0.83083,1.13912,0.00063125,0.00063125,0.00063125
52,2149.96,1.29667,0.78406,1.07323,0.83712,0.74898,0.82845,0.50348,1.4062,0.85011,1.12965,0.000618875,0.000618875,0.000618875
53,2190.86,1.2919,0.77893,1.06826,0.83984,0.75457,0.83431,0.49822,1.41833,0.84985,1.14124,0.0006065,0.0006065,0.0006065
54,2231.54,1.28582,0.77249,1.06704,0.84962,0.75338,0.8381,0.51192,1.40008,0.8224,1.13491,0.000594125,0.000594125,0.000594125
55,2272.12,1.29403,0.76661,1.06888,0.8311,0.77564,0.83907,0.50719,1.40725,0.81775,1.13974,0.00058175,0.00058175,0.00058175
56,2313,1.28569,0.77465,1.06899,0.83275,0.76606,0.84035,0.51116,1.3948,0.82565,1.12477,0.000569375,0.000569375,0.000569375
57,2353.94,1.26449,0.76132,1.05956,0.83179,0.77291,0.84006,0.506,1.41866,0.83125,1.13721,0.000557,0.000557,0.000557
58,2394.52,1.27117,0.76695,1.05811,0.82619,0.76453,0.8326,0.50531,1.40427,0.83637,1.13421,0.000544625,0.000544625,0.000544625
59,2435.21,1.28221,0.75898,1.0653,0.82348,0.76963,0.83672,0.50593,1.42639,0.82893,1.14831,0.00053225,0.00053225,0.00053225
60,2475.55,1.26116,0.74184,1.0581,0.82828,0.76884,0.83782,0.50943,1.40429,0.82043,1.13815,0.000519875,0.000519875,0.000519875
61,2516.11,1.25293,0.74273,1.05585,0.83782,0.77292,0.84398,0.5119,1.40833,0.81012,1.13073,0.0005075,0.0005075,0.0005075
62,2556.73,1.27014,0.75009,1.05709,0.83604,0.77866,0.84527,0.51772,1.39001,0.79784,1.12779,0.000495125,0.000495125,0.000495125
63,2597.41,1.25297,0.73587,1.05314,0.83211,0.77424,0.84078,0.5058,1.42008,0.80194,1.14027,0.00048275,0.00048275,0.00048275
64,2638.13,1.25888,0.73779,1.05625,0.83855,0.77568,0.84498,0.51763,1.39506,0.80102,1.12499,0.000470375,0.000470375,0.000470375
65,2679.04,1.24812,0.72924,1.05076,0.83231,0.78327,0.84667,0.50861,1.4107,0.81176,1.14745,0.000458,0.000458,0.000458
66,2719.9,1.24048,0.7179,1.04821,0.84043,0.77293,0.84434,0.51666,1.3914,0.803,1.13107,0.000445625,0.000445625,0.000445625
67,2760.62,1.24214,0.72241,1.05048,0.84003,0.78034,0.84845,0.51989,1.39132,0.80043,1.12967,0.00043325,0.00043325,0.00043325
68,2801.42,1.24301,0.72512,1.04805,0.83788,0.7687,0.84003,0.51219,1.40658,0.82126,1.13498,0.000420875,0.000420875,0.000420875
69,2842.05,1.22568,0.71138,1.04248,0.83626,0.77684,0.84471,0.51656,1.39344,0.79879,1.12267,0.0004085,0.0004085,0.0004085
70,2882.81,1.22644,0.70977,1.04115,0.83809,0.78717,0.85174,0.5185,1.38976,0.79949,1.12966,0.000396125,0.000396125,0.000396125
71,2923.53,1.22931,0.7106,1.04047,0.84778,0.77904,0.85215,0.52355,1.38484,0.79615,1.12379,0.00038375,0.00038375,0.00038375
72,2964.39,1.2274,0.70173,1.04046,0.84771,0.77428,0.84594,0.51769,1.39579,0.79908,1.12959,0.000371375,0.000371375,0.000371375
73,3004.51,1.21175,0.70036,1.0373,0.84826,0.77323,0.84841,0.52,1.3817,0.79936,1.12265,0.000359,0.000359,0.000359
74,3045.35,1.22472,0.69782,1.04289,0.84344,0.78262,0.85078,0.52187,1.38463,0.7827,1.12823,0.000346625,0.000346625,0.000346625
75,3085.96,1.21892,0.69897,1.03984,0.85141,0.77807,0.85303,0.52597,1.37656,0.78593,1.12494,0.00033425,0.00033425,0.00033425
76,3126.62,1.21634,0.69299,1.03887,0.84167,0.77613,0.84775,0.51682,1.39164,0.80119,1.12995,0.000321875,0.000321875,0.000321875
77,3167.52,1.21205,0.69189,1.03686,0.84282,0.78341,0.8505,0.51988,1.39423,0.79422,1.12938,0.0003095,0.0003095,0.0003095
78,3208.3,1.20781,0.68404,1.03335,0.84544,0.78418,0.85308,0.52466,1.3865,0.7806,1.12504,0.000297125,0.000297125,0.000297125
79,3248.78,1.20225,0.68529,1.03122,0.84278,0.782,0.85289,0.52723,1.37858,0.78006,1.12442,0.00028475,0.00028475,0.00028475
80,3289.37,1.20126,0.68161,1.02989,0.84991,0.7782,0.85285,0.52601,1.38471,0.77992,1.12637,0.000272375,0.000272375,0.000272375
81,3330.28,1.19148,0.66989,1.02582,0.85027,0.77968,0.85249,0.52745,1.37531,0.77959,1.12222,0.00026,0.00026,0.00026
82,3371.17,1.19355,0.6759,1.02934,0.85388,0.7744,0.85101,0.521,1.39258,0.7877,1.12934,0.000247625,0.000247625,0.000247625
83,3411.96,1.1889,0.67358,1.0243,0.84487,0.78675,0.85325,0.52538,1.38414,0.77834,1.12449,0.00023525,0.00023525,0.00023525
84,3452.83,1.18778,0.66565,1.02573,0.85557,0.78099,0.85624,0.52873,1.37271,0.7685,1.12042,0.000222875,0.000222875,0.000222875
85,3494.29,1.17737,0.6594,1.02225,0.84475,0.78887,0.85419,0.5271,1.37932,0.77773,1.12374,0.0002105,0.0002105,0.0002105
